Airport,Year,OpenHour,CloseHour,Capacity
BGQT,2019,0,24,999
BGQT,2020,0,24,999
BGQT,2021,0,24,999
BGQT,2022,0,24,999
BGQT,2023,0,24,999
BGQT,2024,0,24,999
BGQT,2025,0,24,999
BGSC,2018,0,24,999
BGSC,2019,0,24,999
BGSC,2020,0,24,999
BGSC,2021,0,24,999
BGSC,2022,0,24,999
BGSC,2023,0,24,999
BGSC,2024,0,24,999
BGSC,2025,0,24,999
BGSF,2018,0,24,999
BGSF,2019,0,24,999
BGSF,2020,0,24,999
BGSF,2021,0,24,999
BGSF,2022,0,24,999
BGSF,2023,0,24,999
BGSF,2024,0,24,999
BGSF,2025,0,24,999
BGSG,2018,0,24,999
BGSG,2019,0,24,999
BGSG,2020,0,24,999
BGSG,2021,0,24,999
BGSG,2022,0,24,999
BGSG,2023,0,24,999
BGSG,2024,0,24,999
BGSG,2025,0,24,999
BGSI,2018,0,24,999
BGSI,2019,0,24,999
BGSI,2020,0,24,999
BGSI,2021,0,24,999
BGSI,2022,0,24,999
BGSI,2023,0,24,999
BGSI,2024,0,24,999
BGSI,2025,0,24,999
BGSQ,2018,0,24,999
BGSQ,2019,0,24,999
BGSQ,2020,0,24,999
BGSQ,2021,0,24,999
BGSQ,2022,0,24,999
BGSQ,2023,0,24,999
BGSQ,2024,0,24,999
BGSQ,2025,0,24,999
BGSS,2018,0,24,999
BGSS,2019,0,24,999
BGSS,2020,0,24,999
BGSS,2021,0,24,999
BGSS,2022,0,24,999
BGSS,2023,0,24,999
BGSS,2024,0,24,999
BGSS,2025,0,24,999
BGST,2018,0,24,999
BGST,2019,0,24,999
BGST,2020,0,24,999
BGST,2021,0,24,999
BGST,2022,0,24,999
BGST,2023,0,24,999
BGST,2024,0,24,999
BGST,2025,0,24,999
BGSV,2018,0,24,999
BGSV,2019,0,24,999
BGSV,2020,0,24,999
BGSV,2021,0,24,999
BGSV,2022,0,24,999
BGSV,2023,0,24,999
BGSV,2024,0,24,999
BGSV,2025,0,24,999
BGTA,2018,0,24,999
BGTA,2019,0,24,999
BGTA,2020,0,24,999
BGTA,2021,0,24,999
BGTA,2022,0,24,999
BGTA,2023,0,24,999
BGTA,2024,0,24,999
BGTA,2025,0,24,999
BGTL,2018,0,24,999
BGTL,2019,0,24,999
BGTL,2020,0,24,999
BGTL,2021,0,24,999
BGTL,2022,0,24,999
BGTL,2023,0,24,999
BGTL,2024,0,24,999
BGTL,2025,0,24,999
BGTN,2018,0,24,999
BGTN,2019,0,24,999
BGTN,2020,0,24,999
BGTN,2021,0,24,999
BGTN,2022,0,24,999
BGTN,2023,0,24,999
BGTN,2024,0,24,999
BGTN,2025,0,24,999
BGTQ,2018,0,24,999
BGTQ,2019,0,24,999
BGTQ,2020,0,24,999
BGTQ,2021,0,24,999
BGTQ,2022,0,24,999
BGTQ,2023,0,24,999
BGTQ,2024,0,24,999
BGTQ,2025,0,24,999
BGUK,2018,0,24,999
BGUK,2019,0,24,999
BGUK,2020,0,24,999
BGUK,2021,0,24,999
BGUK,2022,0,24,999
BGUK,2023,0,24,999
BGUK,2024,0,24,999
BGUK,2025,0,24,999
BGUM,2018,0,24,999
BGUM,2019,0,24,999
BGUM,2020,0,24,999
BGUM,2021,0,24,999
BGUM,2022,0,24,999
BGUM,2023,0,24,999
BGUM,2024,0,24,999
BGUM,2025,0,24,999
BGUQ,2018,0,24,999
BGUQ,2019,0,24,999
BGUQ,2020,0,24,999
BGUQ,2021,0,24,999
BGUQ,2022,0,24,999
BGUQ,2023,0,24,999
BGUQ,2024,0,24,999
BGUQ,2025,0,24,999
BGUT,2018,0,24,999
BGUT,2019,0,24,999
BGUT,2020,0,24,999
BGUT,2021,0,24,999
BGUT,2022,0,24,999
BGUT,2023,0,24,999
BGUT,2024,0,24,999
BGUT,2025,0,24,999
BIAE,2018,0,24,999
BIAE,2019,0,24,999
BIAE,2020,0,24,999
BIAE,2021,0,24,999
BIAE,2022,0,24,999
BIAE,2023,0,24,999
BIAE,2024,0,24,999
BIAE,2025,0,24,999
BIAR,2018,0,24,999
BIAR,2019,0,24,999
