RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth
LEPAA21,34,2019-07-21T06:40:00.000Z,2019-07-21T08:20:00.000Z,LEPA/SJ,AZ,A,8,20
LEPAA20,34,2019-07-20T06:20:00.000Z,2019-07-20T10:00:00.000Z,LEPA/SJ,AZ,A,8,20
LEPAA21A,34,2019-07-21T15:40:00.000Z,2019-07-21T19:30:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA20A,34,2019-07-20T12:20:00.000Z,2019-07-20T16:40:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA19,34,2019-07-19T18:00:00.000Z,2019-07-19T19:20:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAD13,40,2019-08-13T10:05:00.000Z,2019-08-13T15:00:00.000Z,LEPA,AD,D,10,20
LEPAD13,35,2019-08-13T09:20:00.000Z,2019-08-13T10:05:00.000Z,LEPA,AD,D,10,20
LEVCA05,0,2019-08-05T17:00:00.000Z,2019-08-05T18:17:00.000Z,LEVC,AD,A,10,20
LEVCD05A,0,2019-08-05T17:00:00.000Z,2019-08-05T18:17:00.000Z,LEVC,AD,D,10,20
LFBDA12,14,2019-08-12T11:20:00.000Z,2019-08-12T13:20:00.000Z,LFBD,AD,A,10,20
LFBDA05,14,2019-08-05T11:00:00.000Z,2019-08-05T13:30:00.000Z,LFBD,AD,A,10,20
LFBDA28,14,2019-07-28T18:20:00.000Z,2019-07-28T19:20:00.000Z,LFBD,AD,A,10,20
LFBDA26,12,2019-07-26T07:00:00.000Z,2019-07-26T14:30:00.000Z,LFBD,AD,A,10,20
LFBDA26A,12,2019-07-26T14:30:00.000Z,2019-07-26T16:30:00.000Z,LFBD,AD,A,20,20
LFBDA26A,0,2019-07-26T13:30:00.000Z,2019-07-26T14:00:00.000Z,LFBD,AD,A,20,20
LFBDA26L,12,2019-07-26T17:40:00.000Z,2019-07-26T20:40:00.000Z,LFBD,AD,A,10,20
LFBDA26A,8,2019-07-26T14:00:00.000Z,2019-07-26T14:30:00.000Z,LFBD,AD,A,20,20
LFBDA22,14,2019-07-22T10:40:00.000Z,2019-07-22T14:00:00.000Z,LFBD,AD,A,10,20
LFBHA26,0,2019-07-26T08:40:00.000Z,2019-07-26T11:41:00.000Z,LFBH,AD,A,10,20
LFBOA24M,14,2019-07-24T08:00:00.000Z,2019-07-24T09:00:00.000Z,LFBO,AD,A,10,20
LFBZA12A,4,2019-08-12T16:00:00.000Z,2019-08-12T17:40:00.000Z,LFBZ,AD,A,20,20
LFBZA06,4,2019-08-06T10:20:00.000Z,2019-08-06T12:00:00.000Z,LFBZ,AD,A,20,20
LFBZA04,5,2019-08-04T14:00:00.000Z,2019-08-04T17:00:00.000Z,LFBZ,AD,A,20,20
LFBZA03,4,2019-08-03T11:30:00.000Z,2019-08-03T13:30:00.000Z,LFBZ,AD,A,12,20
LFBZA30,4,2019-07-30T17:40:00.000Z,2019-07-30T19:40:00.000Z,LFBZ,AD,A,20,20
LFBZA29M,3,2019-07-29T09:20:00.000Z,2019-07-29T11:00:00.000Z,LFBZ,AD,A,20,20
LFBZA28,4,2019-07-28T13:30:00.000Z,2019-07-28T16:00:00.000Z,LFBZ,AD,A,20,20
LFBZA24,3,2019-07-24T07:00:00.000Z,2019-07-24T09:00:00.000Z,LFBZ,AD,A,20,20
LFBZA20,3,2019-07-20T11:40:00.000Z,2019-07-20T15:40:00.000Z,LFBZ,AD,A,20,20
LFBZA20E,4,2019-07-20T07:20:00.000Z,2019-07-20T10:00:00.000Z,LFBZ,AD,A,20,20
LFBZA21A,4,2019-07-21T14:00:00.000Z,2019-07-21T16:40:00.000Z,LFBZ,AD,A,20,20
LFBZA19,3,2019-07-19T16:00:00.000Z,2019-07-19T17:20:00.000Z,LFBZ,AD,A,20,20
LFKBA27A,7,2019-07-27T16:40:00.000Z,2019-07-27T20:00:00.000Z,LFKB,AD,A,10,20
LFKBA20A,5,2019-07-20T15:45:00.000Z,2019-07-20T18:00:00.000Z,LFKB,AD,A,20,20
LFKCA10,5,2019-08-10T15:00:00.000Z,2019-08-10T17:00:00.000Z,LFKC,AD,A,20,20
LFKCA03,5,2019-08-03T10:00:00.000Z,2019-08-03T16:00:00.000Z,LFKC,AD,A,14,20
LFKFA27,7,2019-07-27T09:00:00.000Z,2019-07-27T13:00:00.000Z,LFKF,AD,A,20,20
LFKFA27A,7,2019-07-27T17:00:00.000Z,2019-07-27T19:20:00.000Z,LFKF,AD,A,10,20
LFKJA27A,8,2019-07-27T17:00:00.000Z,2019-07-27T20:00:00.000Z,LFKJ,AD,A,10,20
LFLLA09N,14,2019-08-09T20:00:00.000Z,2019-08-09T21:00:00.000Z,LFLL,AD,A,10,20
LFLNG29,3,2019-07-29T06:00:00.000Z,2019-07-29T08:48:00.000Z,LFLN,AD,G,40,20
LFMDA13,3,2019-08-13T17:00:00.000Z,2019-08-13T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA12,5,2019-08-12T08:00:00.000Z,2019-08-12T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA14,5,2019-08-14T14:00:00.000Z,2019-08-14T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA12,4,2019-08-12T10:00:00.000Z,2019-08-12T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA12,3,2019-08-12T06:00:00.000Z,2019-08-12T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA13,5,2019-08-13T14:00:00.000Z,2019-08-13T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA14,4,2019-08-14T10:00:00.000Z,2019-08-14T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA13,4,2019-08-13T10:00:00.000Z,2019-08-13T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA13,5,2019-08-13T08:00:00.000Z,2019-08-13T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA14,5,2019-08-14T08:00:00.000Z,2019-08-14T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA12,3,2019-08-12T17:00:00.000Z,2019-08-12T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA13,3,2019-08-13T06:00:00.000Z,2019-08-13T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA14,3,2019-08-14T06:00:00.000Z,2019-08-14T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA14,3,2019-08-14T17:00:00.000Z,2019-08-14T19:30:00.000Z,LFMD,AD,A,20,20
