airline,num flights,initial costs,final costs,reduction %,run,model
E,3,108.93,55.51,77.22,15,istop
total,50,48599.45,4430.5599999999995,90.88,16,mincost
E,4,245.07999999999998,382.19000000000005,-55.94,16,mincost
B,14,19889.21,1268.31,93.62,16,mincost
A,16,8989.739999999998,1545.12,82.81,16,mincost
F,1,10.04,146.37,-1357.87,16,mincost
C,9,4846.75,633.83,86.92,16,mincost
D,6,14618.630000000001,454.73999999999995,96.89,16,mincost
total,50,48599.45,4912.0199999999995,89.89,16,nnbound
E,4,245.07999999999998,244.79,0.12,16,nnbound
B,14,19889.21,1576.2100000000003,92.08,16,nnbound
A,16,8989.739999999998,1785.03,80.14,16,nnbound
F,1,10.04,10.04,0.0,16,nnbound
C,9,4846.75,740.5300000000001,84.72,16,nnbound
D,6,14618.630000000001,555.4200000000001,96.2,16,nnbound
total,50,48599.45,6159.389999999999,87.33,16,udpp
E,4,245.07999999999998,157.95,35.55,16,udpp
B,14,19889.21,917.1600000000001,95.39,16,udpp
A,16,8989.739999999998,2203.75,75.49,16,udpp
F,1,10.04,0.0,100.0,16,udpp
C,9,4846.75,1447.7599999999998,70.13,16,udpp
D,6,14618.630000000001,1432.77,90.2,16,udpp
total,50,6159.39,5792.4400000000005,88.08,16,istop
E,4,157.95,155.74,36.45,16,istop
B,14,917.1600000000001,895.1199999999999,95.5,16,istop
A,16,2203.75,2010.67,77.63,16,istop
F,1,0.0,0.0,100.0,16,istop
C,9,1447.7599999999998,1298.1399999999999,73.22,16,istop
D,6,1432.77,1432.77,90.2,16,istop
total,50,37116.399999999994,6142.419999999997,83.45,17,mincost
A,16,17307.95,1294.4200000000003,92.52,17,mincost
B,15,11488.44,2140.2,81.37,17,mincost
C,9,5748.329999999999,1090.61,81.03,17,mincost
E,3,182.29999999999998,687.81,-277.3,17,mincost
D,6,2209.98,677.69,69.34,17,mincost
F,1,179.4,251.69,-40.3,17,mincost
total,50,37116.399999999994,6549.74,82.35,17,nnbound
A,16,17307.95,1359.4700000000003,92.15,17,nnbound
